id;salary_record_date;company;area_name;area_code;employee_name;birthday;employee_code;number_of_dependents;basic_salary;commuting_allowance;other_allowance;insurance_level;health_insurance_fees;pension_insurance_fees;labour_insurance_fees;personal_income_tax;personal_income_tax_level;total_deduction_amount;take_home_amount;version;create_user_id;create_date;update_user_id;update_date
1;accompany desert;cheesecake suddenly mundane;yowza;29573;why;2024-06-14;16551;22667;19667;10516;10737;chasm the;28857;29163;17625;4235;icky shelf disastrous;1731;30761;26695;where finally;2024-06-14T22:49:41;behind;2024-06-15T12:54:12
2;why ghost pleased;worriedly barren;woot;22819;fooey how triumphantly;2024-06-15;8421;22525;8439;3050;17305;failing gadzooks knock;15458;6927;8755;23483;how;26698;23743;8441;boohoo;2024-06-14T21:37:09;in tragic zany;2024-06-14T21:08:52
3;phooey bamboo midst;shearling microwave;shrilly;13933;as boiling;2024-06-15;22199;11354;7121;1917;2049;shipwreck;19285;15556;5810;9074;gee viciously;18133;7231;20590;telecast furthermore untimely;2024-06-14T17:24:41;grand accessory judge;2024-06-14T18:28:28
4;unaccountably nauseate;pfft livid;until patch towards;17523;amid;2024-06-14;32134;23544;28077;27227;29871;while;32728;4374;13810;23196;aware;8177;12739;8048;rudely afore;2024-06-15T03:14:34;bacterium;2024-06-15T00:56:18
5;rarely;loftily;medium;11747;yahoo for above;2024-06-15;6153;4152;7635;6126;23404;nor;32393;5956;3661;4126;generously useful movies;3255;11334;13676;info;2024-06-15T01:24:17;hmph scythe what;2024-06-15T13:24:32
6;tight;including hence promptly;zowie painfully;11945;staid although;2024-06-14;4154;16690;7560;212;18116;united;2611;32763;14015;12584;incubation inexperienced mysteriously;23814;15037;23120;juggernaut slur;2024-06-15T04:55:25;buy profile mid;2024-06-15T08:40:55
7;close frail thumb;sap gah inauguration;phooey amid;28013;or concerning;2024-06-15;15307;11596;24353;31154;28436;fishing;11826;15586;6352;1687;brave after;29507;6907;6335;keyboarding verbally instead;2024-06-15T08:01:20;yowza throughout fully;2024-06-15T01:52:12
8;demob that;gosh boohoo woot;timely;18541;majestically delicious;2024-06-14;24050;3187;15076;15939;26621;while semicircle;12841;24728;13097;6430;um;28616;16162;2721;woot;2024-06-14T20:46:02;bid clearly;2024-06-14T19:46:27
9;nice;sneeze whoa;restfully;26614;ski;2024-06-15;13863;11862;19966;31985;18353;unnaturally upon;18680;16426;8347;21887;bah;7252;14181;14934;comment knowledgeably;2024-06-14T17:23:49;more mellow tart;2024-06-14T22:06:50
10;supposing;virtual;ew amid double;13487;but a aside;2024-06-14;28970;8193;5314;30750;12914;likewise;527;4993;9647;2754;um well;27773;26606;28561;save next nor;2024-06-14T16:40:46;deed;2024-06-15T14:39:32
